NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,IDADE,SEXO,TP_ESTADO_CIVIL,RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,ESCOLA,CO_ESCOLA,NO_MUNICIPIO_ESC,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,COMP1,COMP2,COMP3,COMP4,COMP5,NOTA_REDACAO,INTERNET
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,578.7,629.5,605.4,886.1,Inglês,1.0,120.0,120.0,120.0,140.0,120.0,620.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,540.3,57.4,553.4,589.8,Inglês,1.0,140.0,120.0,120.0,120.0,100.0,600.0,Sim
"1,90E+11",Campinas,16,M,1,nao_declarado,1,3,não_respondeu,,,1,1,1,1,636.3,625.3,595.7,870.1,Inglês,1.0,160.0,120.0,120.0,160.0,140.0,700.0,Sim
"1,90E+11",Campinas,18,M,1,branca,1,3,não_respondeu,,,1,1,1,1,574.7,642.2,605.7,786.4,Inglês,1.0,160.0,160.0,160.0,120.0,80.0,680.0,Sim
"1,90E+11",Campinas,16,F,1,branca,1,3,não_respondeu,,,1,1,1,1,465.6,483.8,506.2,453.2,Inglês,1.0,120.0,120.0,120.0,120.0,120.0,600.0,Sim
"1,90E+11",Campinas,15,F,1,branca,1,3,não_respondeu,,,1,1,1,1,575.4,579.4,615.4,652.8,Inglês,1.0,120.0,120.0,120.0,100.0,80.0,540.0,Sim
"1,90E+11",Campinas,16,M,1,branca,1,3,não_respondeu,,,1,1,1,1,569.9,58.0,580.7,766.5,Inglês,1.0,120.0,100.0,100.0,120.0,100.0,540.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,415.7,445.9,522.6,547.7,Espanhol,1.0,120.0,120.0,120.0,120.0,100.0,580.0,Sim
"1,90E+11",Campinas,16,M,1,parda,1,3,não_respondeu,,,1,1,1,1,517.1,545.8,561.1,517.9,Inglês,1.0,120.0,120.0,100.0,120.0,100.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,417.8,451.5,485.4,432.5,Inglês,1.0,120.0,120.0,120.0,100.0,100.0,560.0,Sim
"1,90E+11",Campinas,16,F,1,amarela,1,3,não_respondeu,,,1,1,1,1,463.8,535.1,582.6,652.3,Inglês,1.0,140.0,120.0,120.0,160.0,160.0,700.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,632.9,657.8,627.7,798.5,Inglês,1.0,200.0,200.0,200.0,200.0,160.0,960.0,Sim
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,589.2,643.9,60.2,77.5,Inglês,1.0,160.0,160.0,180.0,160.0,140.0,800.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,501.5,448.3,571.2,70.5,Inglês,1.0,140.0,140.0,160.0,120.0,100.0,660.0,Sim
"1,90E+11",Campinas,17,M,0,branca,1,3,não_respondeu,,,1,1,1,1,564.7,568.6,558.6,609.4,Inglês,1.0,120.0,120.0,120.0,120.0,140.0,620.0,Sim
"1,90E+11",Campinas,16,F,1,preta,1,3,não_respondeu,,,1,1,1,1,537.4,571.2,559.3,651.8,Inglês,1.0,140.0,120.0,120.0,140.0,160.0,680.0,Sim
"1,90E+11",Campinas,15,F,1,parda,1,3,não_respondeu,,,1,1,1,1,500.5,540.1,568.2,460.7,Espanhol,1.0,120.0,140.0,120.0,120.0,80.0,580.0,Sim
"1,90E+11",Campinas,17,F,1,parda,1,3,não_respondeu,,,1,1,1,1,379.7,448.9,420.9,370.6,Inglês,1.0,140.0,80.0,60.0,80.0,60.0,420.0,Sim
"1,90E+11",Campinas,16,F,1,parda,1,3,não_respondeu,,,1,1,1,1,518.3,515.8,492.9,48.3,Inglês,1.0,140.0,120.0,100.0,120.0,140.0,620.0,Não
"1,90E+11",Campinas,17,M,1,branca,1,3,não_respondeu,,,1,1,1,1,402.6,579.3,54.2,709.9,Inglês,1.0,140.0,120.0,140.0,180.0,200.0,780.0,Sim
"1,90E+11",Campinas,17,F,1,branca,1,3,não_respondeu,,,1,1,1,1,54.4,576.1,526.7,500.2,Inglês,1.0,120.0,120.0,120.0,120.0,0.0,480.0,Não
